"Date","Price","Open","High","Low","Vol.","Change %"
"19-11-2024","16,792.40","16,756.00","17,031.45","16,756.00","0.00K","0.59%"
"18-11-2024","16,693.35","16,816.35","16,852.55","16,550.65","0.00K","-0.64%"
"14-11-2024","16,801.55","16,697.00","16,940.35","16,695.05","","0.79%"
"13-11-2024","16,670.35","17,121.30","17,134.65","16,644.70","","-3.06%"
"12-11-2024","17,196.40","17,465.65","17,560.45","17,162.85","","-1.31%"
"11-11-2024","17,423.90","17,582.00","17,592.05","17,401.05","","-1.19%"
"08-11-2024","17,634.25","17,944.05","17,949.80","17,595.30","","-1.56%"
"07-11-2024","17,914.60","18,085.55","18,151.70","17,893.25","","-0.62%"
"06-11-2024","18,027.15","17,781.30","18,040.10","17,732.85","","1.88%"
"05-11-2024","17,694.65","17,564.65","17,718.45","17,496.05","","0.48%"
"04-11-2024","17,609.50","17,928.80","17,943.70","17,509.65","","-1.84%"
"01-11-2024","17,938.85","17,889.55","17,978.35","17,882.95","","1.06%"
"31-10-2024","17,751.20","17,483.65","17,777.00","17,438.55","","1.53%"
"30-10-2024","17,483.40","17,301.80","17,541.45","17,294.10","","1.19%"
"29-10-2024","17,278.20","17,200.70","17,305.35","16,985.00","","0.74%"
"28-10-2024","17,151.60","16,995.75","17,214.55","16,828.90","","1.15%"
"25-10-2024","16,956.05","17,372.25","17,423.95","16,800.30","","-2.28%"
"24-10-2024","17,352.20","17,486.05","17,544.30","17,328.15","","-0.60%"
"23-10-2024","17,456.20","17,251.60","17,604.20","17,038.45","","1.04%"
"22-10-2024","17,275.70","17,929.40","17,936.25","17,242.90","","-3.68%"
"21-10-2024","17,936.30","18,311.65","18,328.40","17,902.95","","-1.65%"
"18-10-2024","18,236.80","18,151.25","18,261.85","17,848.75","","-0.04%"
"17-10-2024","18,244.30","18,561.10","18,575.50","18,225.30","","-1.41%"
"16-10-2024","18,505.95","18,464.65","18,525.60","18,365.60","","0.21%"
"15-10-2024","18,467.65","18,338.95","18,483.60","18,326.80","","1.11%"
"14-10-2024","18,265.10","18,274.75","18,303.85","18,189.25","","0.29%"
"11-10-2024","18,213.00","18,166.70","18,247.45","18,114.20","","0.47%"
"10-10-2024","18,127.35","18,205.55","18,248.00","18,114.15","","0.13%"
"09-10-2024","18,103.95","17,976.45","18,183.30","17,975.55","","1.24%"
"08-10-2024","17,882.85","17,461.85","17,910.50","17,359.50","","2.10%"
"07-10-2024","17,514.50","18,090.85","18,142.50","17,379.70","","-2.81%"
"04-10-2024","18,021.65","18,163.50","18,258.50","17,804.10","","-0.87%"
"03-10-2024","18,179.20","18,257.50","18,431.00","18,119.95","","-1.90%"
"01-10-2024","18,531.80","18,444.80","18,550.45","18,426.60","","0.66%"
"30-09-2024","18,410.70","18,407.20","18,447.70","18,258.35","","0.06%"
"27-09-2024","18,399.85","18,488.50","18,538.95","18,370.50","","-0.19%"
"26-09-2024","18,434.95","18,569.30","18,575.15","18,401.75","","-0.45%"
"25-09-2024","18,518.10","18,614.10","18,621.45","18,458.30","","-0.35%"
"24-09-2024","18,583.30","18,675.10","18,688.30","18,570.45","","-0.21%"
"23-09-2024","18,623.15","18,578.20","18,640.65","18,528.20","","0.86%"
"20-09-2024","18,464.65","18,375.25","18,501.70","18,285.60","","1.06%"
"19-09-2024","18,270.40","18,583.70","18,619.45","18,057.95","","-1.11%"
