Company Name,Ticker,NSE Symbol
Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS,NSE:MRPL
Mankind Pharma Ltd.,MANKIND.NS,NSE:MANKIND
Marico Ltd.,MARICO.NS,NSE:MARICO
Max Financial Services Ltd.,MFSL.NS,NSE:MFSL
Max Healthcare Institute Ltd.,MAXHEALTH.NS,NSE:MAXHEALTH
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS,NSE:MAZDOCK
Metro Brands Ltd.,METROBRAND.NS,NSE:METROBRAND
Motherson Sumi Wiring India Ltd.,MSUMI.NS,NSE:MSUMI
MphasiS Ltd.,MPHASIS.NS,NSE:MPHASIS
Muthoot Finance Ltd.,MUTHOOTFIN.NS,NSE:MUTHOOTFIN
NLC India Ltd.,NLCINDIA.NS,NSE:NLCINDIA
NMDC Ltd.,NMDC.NS,NSE:NMDC
Nippon Life India Asset Management Ltd.,NAM-INDIA.NS,NSE:NAM-INDIA
Oberoi Realty Ltd.,OBEROIRLTY.NS,NSE:OBEROIRLTY
Oil India Ltd.,OIL.NS,NSE:OIL
One 97 Communications Ltd.,PAYTM.NS,NSE:PAYTM
Oracle Financial Services Software Ltd.,OFSS.NS,NSE:OFSS
PB Fintech Ltd.,POLICYBZR.NS,NSE:POLICYBZR
PI Industries Ltd.,PIIND.NS,NSE:PIIND
Page Industries Ltd.,PAGEIND.NS,NSE:PAGEIND
Patanjali Foods Ltd.,PATANJALI.NS,NSE:PATANJALI
Persistent Systems Ltd.,PERSISTENT.NS,NSE:PERSISTENT
Petronet LNG Ltd.,PETRONET.NS,NSE:PETRONET
Phoenix Mills Ltd.,PHOENIXLTD.NS,NSE:PHOENIXLTD
Polycab India Ltd.,POLYCAB.NS,NSE:POLYCAB
Poonawalla Fincorp Ltd.,POONAWALLA.NS,NSE:POONAWALLA
Prestige Estates Projects Ltd.,PRESTIGE.NS,NSE:PRESTIGE
Procter & Gamble Hygiene & Health Care Ltd.,PGHH.NS,NSE:PGHH
Rail Vikas Nigam Ltd.,RVNL.NS,NSE:RVNL
SBI Cards and Payment Services Ltd.,SBICARD.NS,NSE:SBICARD
SJVN Ltd.,SJVN.NS,NSE:SJVN
SKF India Ltd.,SKFINDIA.NS,NSE:SKFINDIA
SRF Ltd.,SRF.NS,NSE:SRF
Schaeffler India Ltd.,SCHAEFFLER.NS,NSE:SCHAEFFLER
Solar Industries India Ltd.,SOLARINDS.NS,NSE:SOLARINDS
Sona BLW Precision Forgings Ltd.,SONACOMS.NS,NSE:SONACOMS
Star Health and Allied Insurance Company Ltd.,STARHEALTH.NS,NSE:STARHEALTH
Steel Authority of India Ltd.,SAIL.NS,NSE:SAIL
Sun TV Network Ltd.,SUNTV.NS,NSE:SUNTV
Sundaram Finance Ltd.,SUNDARMFIN.NS,NSE:SUNDARMFIN
