Company Name,Ticker,NSE Symbol,Market Cap,Relative Momentum,Absolute Momentum,Dual Momentum
Hero MotoCorp Ltd.,HEROMOTOCO.NS,NSE:HEROMOTOCO,Large Cap,-9.3258,0.9239,-4.2009
Indian Oil Corporation Ltd.,IOC.NS,NSE:IOC,Large Cap,-24.8451,0.7972,-12.0239
InterGlobe Aviation Ltd.,INDIGO.NS,NSE:INDIGO,Large Cap,-9.1707,0.9251,-4.1228
NTPC Ltd.,NTPC.NS,NSE:NTPC,Large Cap,-6.2315,0.9491,-2.6412
Samvardhana Motherson International Ltd.,MOTHERSON.NS,NSE:MOTHERSON,Large Cap,13.3068,1.1086,7.2077
Siemens Ltd.,SIEMENS.NS,NSE:SIEMENS,Large Cap,-10.6742,0.9129,-4.8807
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,NSE:SUNPHARMA,Large Cap,25.3132,1.2066,13.2599
Tata Motors Ltd.,TATAMOTORS.NS,NSE:TATAMOTORS,Large Cap,-22.7067,0.8146,-10.9461
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,NSE:TORNTPHARM,Large Cap,19.8622,1.1621,10.5122
Vedanta Ltd.,VEDL.NS,NSE:VEDL,Large Cap,3.7976,1.031,2.4143
