Company Name,Ticker,NSE Symbol,Market Cap
Shree Cement Ltd.,SHREECEM.NS,NSE:SHREECEM,Large Cap
Shriram Finance Ltd.,SHRIRAMFIN.NS,NSE:SHRIRAMFIN,Large Cap
Siemens Ltd.,SIEMENS.NS,NSE:SIEMENS,Large Cap
State Bank of India,SBIN.NS,NSE:SBIN,Large Cap
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,NSE:SUNPHARMA,Large Cap
TVS Motor Company Ltd.,TVSMOTOR.NS,NSE:TVSMOTOR,Large Cap
Tata Consultancy Services Ltd.,TCS.NS,NSE:TCS,Large Cap
Tata Consumer Products Ltd.,TATACONSUM.NS,NSE:TATACONSUM,Large Cap
Tata Motors Ltd.,TATAMOTORS.NS,NSE:TATAMOTORS,Large Cap
Tata Power Co. Ltd.,TATAPOWER.NS,NSE:TATAPOWER,Large Cap
Tata Steel Ltd.,TATASTEEL.NS,NSE:TATASTEEL,Large Cap
Tech Mahindra Ltd.,TECHM.NS,NSE:TECHM,Large Cap
Titan Company Ltd.,TITAN.NS,NSE:TITAN,Large Cap
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,NSE:TORNTPHARM,Large Cap
Trent Ltd.,TRENT.NS,NSE:TRENT,Large Cap
UltraTech Cement Ltd.,ULTRACEMCO.NS,NSE:ULTRACEMCO,Large Cap
Union Bank of India,UNIONBANK.NS,NSE:UNIONBANK,Large Cap
United Spirits Ltd.,UNITDSPR.NS,NSE:UNITDSPR,Large Cap
Varun Beverages Ltd.,VBL.NS,NSE:VBL,Large Cap
Vedanta Ltd.,VEDL.NS,NSE:VEDL,Large Cap
Wipro Ltd.,WIPRO.NS,NSE:WIPRO,Large Cap
Zomato Ltd.,ZOMATO.NS,NSE:ZOMATO,Large Cap
Zydus Lifesciences Ltd.,ZYDUSLIFE.NS,NSE:ZYDUSLIFE,Large Cap
3M India Ltd.,3MINDIA.NS,NSE:3MINDIA,Mid Cap
ACC Ltd.,ACC.NS,NSE:ACC,Mid Cap
AIA Engineering Ltd.,AIAENG.NS,NSE:AIAENG,Mid Cap
